REF_AREA_LABEL,REF_AREA,STRUCTURE,STRUCTURE_ID,ACTION,FREQ,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
Afghanistan,AFG,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Angola,AGO,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Albania,ALB,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Andorra,AND,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
United Arab Emirates,ARE,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Argentina,ARG,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Armenia,ARM,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Antigua and Barbuda,ATG,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Australia,AUS,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Austria,AUT,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Azerbaijan,AZE,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Burundi,BDI,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Belgium,BEL,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Benin,BEN,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Burkina Faso,BFA,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Bangladesh,BGD,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Bulgaria,BGR,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Bahrain,BHR,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
"Bahamas, The",BHS,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Bosnia and Herzegovina,BIH,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Belarus,BLR,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Belize,BLZ,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Bolivia,BOL,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Brazil,BRA,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Barbados,BRB,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Brunei Darussalam,BRN,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Bhutan,BTN,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Botswana,BWA,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Central African Republic,CAF,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Canada,CAN,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Switzerland,CHE,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Chile,CHL,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
China,CHN,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Cote d'Ivoire,CIV,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Cameroon,CMR,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
"Congo, Dem. Rep.",COD,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
"Congo, Rep.",COG,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Colombia,COL,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Comoros,COM,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Cabo Verde,CPV,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Costa Rica,CRI,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Cuba,CUB,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Cyprus,CYP,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Czechia,CZE,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Germany,DEU,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Djibouti,DJI,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Dominica,DMA,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Denmark,DNK,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Dominican Republic,DOM,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Algeria,DZA,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Ecuador,ECU,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
"Egypt, Arab Rep.",EGY,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Eritrea,ERI,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Spain,ESP,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Estonia,EST,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Ethiopia,ETH,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Finland,FIN,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Fiji,FJI,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
France,FRA,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
"Micronesia, Fed. Sts.",FSM,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Gabon,GAB,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
United Kingdom,GBR,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Georgia,GEO,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Ghana,GHA,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2024,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
